CIK,Year,Sentimental Score
20,2009,193
20,2009,4
20,2009,4
20,2008,602
20,2008,662
20,2008,472
20,2007,858
20,2007,706
20,2007,338
20,2006,-56
20,2006,66
20,2006,-16
20,2005,554
20,2005,380
20,2005,482
20,2004,540
20,2004,658
20,2004,538
20,2003,504
20,2003,464
20,2003,2499
20,2002,1705
20,2002,2078
20,2002,1176
20,2001,1310
20,2001,1496
20,2001,1829
20,2000,2376
20,2000,2431
20,2000,0
20,2000,1915
20,1999,1252
20,1999,832
20,1999,1094
20,1998,1946
20,1998,1757
20,1998,1336
20,1997,4629
20,1997,667
20,1997,-88
20,1996,386
20,1996,197
20,1996,-58
20,1995,280
20,1995,121
20,1995,473
1800,2018,12897
1800,2018,12666
1800,2018,12156
1800,2017,11299
1800,2017,10942
1800,2017,9181
1800,2016,9889
1800,2016,9570
1800,2016,9285
1800,2015,10384
1800,2015,10157
1800,2015,9566
1800,2014,10203
1800,2014,8072
1800,2014,7364
1800,2013,52
1800,2013,102
1800,2013,52
1800,2012,52
1800,2012,123
1800,2012,92
1800,2011,52
1800,2011,52
1800,2011,173
1800,2010,0
1800,2010,0
1800,2010,202
1800,2009,208
1800,2009,662
1800,2009,612
1800,2008,132
1800,2008,331
1800,2008,61
1800,2007,276
1800,2007,322
1800,2007,62
1800,2006,102
1800,2006,431
1800,2006,93
1800,2005,171
1800,2005,162
1800,2005,651
1800,2004,191
1800,2004,193
1800,2004,533
1800,2003,0
1800,2003,0
1800,2003,0
1800,2002,0
1800,2002,0
1800,2002,0
1800,2001,0
1800,2001,0
1800,2001,0
1800,2000,0
1800,2000,0
1800,2000,0
1800,1999,3225
1800,1999,0
1800,1999,0
1800,1998,0
1800,1998,0
1800,1998,0
1800,1997,0
1800,1997,0
1800,1997,0
1800,1996,0
1800,1996,0
1800,1996,0
1800,1995,0
1800,1995,0
1800,1995,0
1800,1994,0
1800,1994,0
1800,1994,0
2034,2018,20246
2034,2018,3269
2034,2018,3165
2034,2017,3298
2034,2017,3047
2034,2017,2428
2034,2016,2378
2034,2016,2880
2034,2016,2136
2034,2015,0
2034,2015,3424
2034,2015,2923
2034,2014,2520
2034,2014,2020
2034,2014,1981
2034,2013,1666
2034,2013,2911
2034,2013,2871
2034,2012,2323
2034,2012,2775
2034,2012,2832
2034,2011,1988
2034,2011,2065
2034,2011,7468
2034,2010,1015
2034,2010,0
2034,2010,0
2034,2009,1485
2034,2009,0
2034,2009,0
2034,2008,0
2034,2008,0
2034,2008,0
2034,2007,0
2034,2007,435
2034,2007,497
2034,2006,793
2034,2006,4990
2034,2006,2913
2034,2005,196
2034,2005,2564
2034,2005,2638
2034,2004,2602
2034,2004,3854
2034,2004,2296
2034,2003,1298
2034,2003,1027
2034,2003,345
2034,2002,722
2034,2002,952
2034,2002,496
2034,2001,586
2034,2001,4
2034,2001,200
2034,2000,879
2034,2000,950
2034,2000,806
2034,1999,708
2034,1999,757
2034,1999,757
2034,1999,1298
2034,1998,550
2034,1998,0
2034,1998,0
2034,1997,578
2034,1997,0
2034,1997,0
2034,1996,0
2034,1996,0
2034,1996,0
2034,1995,0
2034,1995,0
2034,1995,0
2070,2000,1756
2070,2000,0
2070,2000,0
2070,1999,0
2070,1999,0
2070,1999,0
2070,1998,0
2070,1998,0
2070,1998,0
2070,1997,0
2070,1997,0
2070,1997,0
2070,1996,0
2070,1996,0
2070,1996,0
2070,1995,0
2070,1995,0
2070,1995,0
2098,2018,0
2098,2018,0
2098,2017,0
2098,2017,0
2098,2017,0
2098,2016,1597
2098,2016,1535
