year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GDP,2.29999999999977,6.09999999999999,4.40000000000002,5.80000000000014,6.39999999999984,6.50000000000024,2.50000000000003,4.79999999999974,3.10000000000004,3.20680725745444,3.29547672836176,5.26326277619982,5.64312484755203,-0.51715456222523,-0.197678536519447,5.38609005075547,4.60859740653179,5.5616849289446,3.17569075012061,-0.244596225208085,2.59447038823151,-1.91089106804856,4.63245718120484,7.25908695936059,4.23873752083914,3.5116144990922,3.46174769185008,4.20397197941296,3.68052403304715,1.91937029742549,-0.0740845307123976,3.55539614766758,2.74585671892275,4.03764342486481,2.71897578878193,3.79588122942587,4.48702649316731,4.44991096328404,4.68519960839866,4.09217644881066,0.975981833932124,1.78612768745552,2.80677595648093,3.78574284969444,3.34521606334877,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.60145467247139,2.22403085385714,1.67733152992453,2.56919359418927,2.86158702527237,1.48527919319146,2.27333854830167,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23472,6525,487,574,897,924,742,1394,2203,3814,4156,3511,3978,9368,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27153,10180,13629,26060,0,0,0,1151,787,1788,3014,4592,4920,5317,4230,4711,5427,7701,9340,14420,7653,8205,8841,9167,9188,
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16157,5629,6556,24937,19529,1198,868,2235,3012,3886,2621,1725,3156,0,4143,4303,5217,6470,6242,5713,0,5555,112859,6827,
2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5063,5041,8073,5203,205,6808,1120,988,1330,1814,1680,1944,2814,2869,0,2448,2924,3058,2782,3353,2889,3590,4752,
2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23336,36983,14773,19233,3866,5782,9620,12186,8832,14735,,116281,14410,15331,,,,,,,,,,
2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11538,6327,6502,1290,1617,1457,1747,3347,4400,3928,0,0,0,0,3314,3955,4205,3835,3695,3176,3086,2628,14393,
2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17529,16822,358,727,1268,1902,3181,4661,4850,5714,5796,5140,3165,4050,4004,2637,2989,10236,10573,1764,2626,0,
2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73348,45491,27990,35678,6358,0,0,0,0,7036,10377,14348,12963,12481,15307,18581,13190,13887,14144,7371,7846,5901,30578,34520,32981,
2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17995,22296,149162,8827,9491,7577,7276,7858,6922,8487,0,7878,27381,8283,7329,6947,8001,6759,6689,6808,,,,,
2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4499,3245,3794,0,0,3637,0,0,,,,,,,,,,,,,,,,
2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,5306,,,,,,,,,
2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22760,31335,41704,0,0,0,0,0,0,0,0,0,0,0,0,6059,11782,12795,11562,37516,13086,14029,12143,40228,,
3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42292,10871,6954,1434,3518,3127,13990,15913,7455,7630,7669,8691,7511,22218,10665,10537,12719,9440,8655,6648,10601,19601,36215,
3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,2633,3089,6388,2942,5132,6034,6140,29183,5701,6886,7125,7008,8923,8164,7833,9771,
3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78112,101956,45706,0,0,0,0,0,8626,4763,7207,16377,7371,7705,,,,,,,,,,,,
3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52153,5955,7108,5907,515,996,1042,1343,1859,2521,3313,2518,3671,3427,3386,3183,2342,2773,3475,2594,2530,2657,2380,11388,
3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15346,40922,1633,1579,2748,8335,8112,3893,2446,4062,4625,5887,7432,5199,4917,21118,19695,29932,27222,30405,30471,35120,35450,
3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35056,45635,37713,7069,39625,116780,43033,57121,15733,19616,53510,12093,14772,2508,4953,,,,,,,,
3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3944,4460,4262,6305,6407,5617,5282,5878,7032,7730,10570,,,,,,,,,,,,,,
3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22130,12377,2706,11126,,,,,,,,,,,,,,,,,,,
3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10081,12869,12634,2534,1334,2204,1984,0,16970,9196,4110,5755,3525,2169,4461,2563,3139,3275,,,,,,
3982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5251,4595,849,1218,2571,3026,3234,1672,1330,57325,10723,10211,54757,10924,7215,8669,,,,,,,,
4127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9692,7951,6176,7887,6144,7920,7580,3653,23417,24137,21236,26170,25816,24113,24305,0,
4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163491,64827,34477,15262,2022,5948,2982,10775,5998,6722,24900,27594,,,,,,,,,,,,,
