CIK,Year,Sentimental Score
20,2009,12
20,2008,1736
20,2007,1902
20,2006,-6
20,2005,1416
20,2004,1736
20,2003,3467
20,2002,4959
20,2001,4635
20,2000,6722
20,1999,3178
20,1998,5039
20,1997,5208
20,1996,525
20,1995,874
1800,2018,37719
1800,2017,31422
1800,2016,28744
1800,2015,30107
1800,2014,25639
1800,2013,206
1800,2012,267
1800,2011,277
1800,2010,202
1800,2009,1482
1800,2008,524
1800,2007,660
1800,2006,626
1800,2005,984
1800,2004,917
1800,2003,0
1800,2002,0
1800,2001,0
1800,2000,0
1800,1999,3225
1800,1998,0
1800,1997,0
1800,1996,0
1800,1995,0
1800,1994,0
2034,2018,26680
2034,2017,8773
2034,2016,7394
2034,2015,6347
2034,2014,6521
2034,2013,7448
2034,2012,7930
2034,2011,11521
2034,2010,1015
2034,2009,1485
2034,2008,0
2034,2007,932
2034,2006,8696
2034,2005,5398
2034,2004,8752
2034,2003,2670
2034,2002,2170
2034,2001,790
2034,2000,2635
2034,1999,3520
2034,1998,550
2034,1997,578
2034,1996,0
2034,1995,0
2070,2000,1756
2070,1999,0
2070,1998,0
2070,1997,0
2070,1996,0
2070,1995,0
2098,2018,0
2098,2017,0
2098,2016,4509
2098,2015,1358
2098,2014,3031
2098,2013,3258
2098,2012,3595
2098,2011,3555
2098,2010,1160
2098,2009,1325
2098,2008,4222
2098,2007,2731
2098,2006,2938
2098,2005,2466
2098,2004,383
2098,2003,0
2098,2002,60
2098,2001,60
2098,2000,60
2098,1999,60
2098,1998,50
2098,1997,315
2098,1996,-758
2098,1995,635
2135,2009,27655
2135,2008,27958
2135,2007,71007
2135,2006,82137
2135,2005,50751
2135,2004,25211
2135,2003,18068
2135,2002,22936
2135,2001,8040
2135,2000,2483
2135,1999,10870
2135,1998,12913
2135,1997,10307
2135,1996,13585
2178,2018,5708
2178,2017,15582
2178,2016,2435
2178,2015,3343
2178,2014,3731
2178,2013,3990
2178,2012,5291
2178,2011,4671
2178,2010,4032
2178,2009,1752
2178,2008,0
2178,2007,0
2178,2006,0
2178,2005,2434
2178,2004,2054
2178,2003,0
2178,2002,0
2178,2001,0
2178,2000,0
2178,1999,0
2178,1998,0
2178,1997,0
2178,1996,0
2178,1995,0
2186,2018,1692
2186,2017,3656
2186,2016,4676
2186,2015,3486
2186,2014,3555
2186,2013,3635
2186,2012,2681
2186,2011,2447
2186,2010,3132
2186,2009,4961
2186,2008,4258
2186,2007,5999
2186,2006,9834
2186,2005,9014
2186,2004,7169
2186,2003,1898
2186,2002,4326
2186,2001,2635
2186,2000,2844
2186,1999,1237
2186,1998,362
2186,1997,815
2186,1996,881
2186,1995,1071
2488,2018,25265
2488,2017,38025
2488,2016,37856
2488,2015,24982
2488,2014,14263
2488,2013,12774
2488,2012,15485
2488,2011,23287
2488,2010,26539
2488,2009,31528
2488,2008,28046
2488,2007,27927
2488,2006,25236
2488,2005,45117
2488,2004,41605
2488,2003,22815
2488,2002,15859
2488,2001,9570
2488,2000,11835
2488,1999,18132
2488,1998,14495
2488,1997,112508
2488,1996,37602
2488,1995,71576
2488,1994,29892
2491,2014,27902
2491,2013,33551
2491,2012,30873
2491,2011,26599
2491,2010,26478
2491,2009,28965
2491,2008,19323
2491,2007,13315
2491,2006,4039
2491,2005,2320
2491,2004,6382
2491,2003,5021
2491,2002,9330
2491,2001,9278
2491,2000,11635
2491,1999,20378
2491,1998,24066
2491,1997,49100
2491,1996,16395
2491,1995,9401
2589,2003,3087
2589,2002,4860
2589,2001,3309
2589,2000,3514
2589,1999,3861
2589,1998,5270
2589,1997,2535
2589,1996,2884
2589,1995,1880
2601,2011,1631
2601,2010,0
2601,2009,0
2601,2007,20
2601,2006,0
2601,2005,0
2601,2004,0
2601,2003,0
2601,2002,0
2601,2001,0
2601,2000,0
2601,1999,100
2601,1998,305
2601,1997,0
2601,1996,0
2601,1995,0
2969,2018,0
2969,2017,44428
2969,2016,15168
2969,2015,13433
2969,2014,9382
2969,2013,21677
2969,2012,21507
2969,2011,22510
2969,2010,13140
2969,2009,9226
2969,2008,31235
2969,2007,32348
2969,2006,23483
2969,2005,21874
2969,2004,15313
2969,2003,6375
2969,2002,0
2969,2001,0
2969,2000,0
2969,1999,0
2969,1998,0
2969,1997,0
2969,1996,0
2969,1995,0
2969,1994,0
3116,2018,18972
3116,2017,27842
3116,2016,41900
3116,2014,6288
3116,2013,7990
3116,2012,15360
3116,2011,11839
3116,2010,14832
3116,2009,14690
3116,2008,5284
3116,2007,6963
3116,2006,3967
3116,2005,14142
3116,2004,15557
3116,2003,31599
3116,2002,40
3116,2001,80
3116,2000,3939
3116,1999,6079
3116,1998,5000
3116,1997,5465
3116,1996,5986
3116,1995,1531
3197,2018,5318
3197,2017,10054
3197,2016,10311
3197,2015,14066
3197,2014,8742
3197,2013,28635
3197,2012,22895
3197,2011,18825
3197,2010,18218
3197,2009,1919
3197,2008,2481
3197,2007,2854
3197,2006,9884
3197,2005,0
3197,2004,0
3197,2003,0
3197,2002,2055
3197,2001,1045
3197,1999,0
3197,1996,0
3370,2008,8257
3370,2007,7749
3370,2006,11104
3370,2005,50947
3370,2004,40099
3370,2003,0
3370,2002,26944
3370,2001,0
3370,2000,0
3370,1999,8744
3370,1998,5668
3370,1997,7482
3370,1996,38975
3370,1995,8184
3370,1994,26270
3499,2018,19173
3499,2017,3749
3499,2016,3199
3499,2015,4040
3499,2014,2364
3499,2013,4103
3499,2012,6045
3499,2011,2967
3499,2010,3016
3499,2009,3393
3499,2008,0
3499,2007,0
3499,2006,2102
3499,2005,1552
3499,2004,1938
3499,2003,2205
3499,2002,3328
3499,2001,2328
3499,2000,2581
3499,1999,364
3499,1998,8163
3499,1997,3954
3499,1996,2732
3499,1995,12337
3570,2018,27503
3570,2017,40524
3570,2016,44150
3570,2015,33210
3570,2014,28836
3570,2013,26815
3570,2012,19124
3570,2011,21083
3570,2010,20339
3570,2009,11993
3570,2008,17551
3570,2007,20935
3570,2006,17109
3570,2005,12276
3570,2004,6748
3570,2003,14561
3570,2002,7699
3570,2001,7890
3570,2000,13391
3570,1999,21719
3570,1998,14350
3570,1997,26877
3673,2010,20917
3673,2009,24203
3673,2008,22671
3673,2007,34638
3673,2006,24841
3673,2005,41084
3673,2004,36493
3673,2003,16224
3673,2002,0
3673,2001,0
3673,2000,0
3673,1999,0
3673,1998,0
3673,1997,0
3673,1996,0
3673,1995,0
3673,1994,0
3721,2003,0
3721,2002,0
3721,2001,0
3721,2000,0
3721,1999,0
3721,1998,0
3721,1997,0
3721,1996,0
3721,1995,0
3721,1994,0
3753,2004,4359
3753,2003,567
3753,2002,-221
3753,2001,1337
3753,2000,4869
3753,1999,11403
3753,1998,5291
3753,1997,5982
3753,1996,4306
3753,1995,3802
3753,1994,1959
3941,2000,4917
3941,1999,32952
3941,1998,10405
3941,1997,15875
3941,1996,5095
3941,1995,6865
3941,1994,3224
3952,2013,5466
3952,2012,8629
3952,2011,6019
3952,2010,3331
3952,2009,0
3952,2008,0
3952,2007,472
3952,2006,0
3952,2005,0
3952,2004,0
3952,2003,0
3952,2002,0
3952,2001,5376
3952,2000,3609
3952,1999,7198
3952,1998,6064
3952,1997,5668
3952,1996,5930
